AP ID,"X, m","Y, m","Z, m"
O01,842902.664,815088.4242,5.002288818
O02,842918.9086,815069.9323,4.868804932
O03,842932.3277,815085.7019,5.167388916
O04,842932.3277,815065.7019,5.022064209
O05,842932.3228,815045.7019,5.134918213
O06,842935.418,815025.9428,5.818328857
O07,842935.6579,814908.1353,4.674407959
O08,842932.7882,814888.3423,4.67590332
O09,842929.0062,814868.7031,5.054992676
O10,842924.352,814849.2522,5.007537842
O11,842918.9545,814830.3764,5.182891846
O12,842955.4119,815026.4386,5.242858887
O13,842975.0787,815030.0738,5.016845703
O14,842994.9711,815032.1458,5.058990479
O15,843013.8179,815025.435,4.418884277
O16,843027.8355,815011.3632,4.188201904
O17,843040.1278,814995.5866,4.392379761
O18,843052.3978,814979.7928,4.419723511
O19,843064.6705,814964.001,4.438964844
O20,843076.9463,814948.2116,4.268005371
O21,843089.2221,814932.4222,4.256347656
O22,843101.4979,814916.6328,4.098022461
O23,843113.7737,814900.8434,4.011047363
O24,843126.0495,814885.054,3.981872559
O25,843065.2865,814928.9731,4.114532471
O26,843080.9112,814916.4884,4.012145996
O27,843093.13,814900.6548,3.933959961
O28,843105.3487,814884.8212,3.843902588
O29,842987.5169,814870.3669,4.080276489
O30,842978.8044,814852.3643,4.089233398
O31,842972.4513,814833.4002,4.259307861
O32,842966.2144,814814.3975,4.485473633
O33,842959.9528,814795.403,4.771514893
O34,843048.8446,814917.5861,4.038314819
O35,843035.7869,814902.437,4.160186768
O36,843022.7879,814887.2374,4.015960693
O37,843009.8341,814871.9994,3.883102417
O38,842998.0359,814855.6804,3.800003052
O39,842991.1178,814837.0618,3.837478638
O40,842984.8038,814818.0846,4.370788574
O41,842978.49,814799.1074,4.456069946
O42,842941.3222,815098.4419,6.540771484
O43,842960.6989,815074.6489,4.881759644
O44,842960.8281,815046.4873,4.883728027
O45,842994.4696,815102.0582,4.540847778
O46,843003.9065,815086.4705,4.544708252
O47,843006.073,815056.1795,4.688903809
O48,843034.5653,815086.0434,4.824310303
P01,842937.2748,814928.0699,5.289520264
P02,842937.9466,814938.6539,5.484909058
P03,842938.3533,814949.2507,5.690002441
P04,842938.4967,814959.8558,5.627227783
P05,842938.4805,814970.4614,5.72164917
P06,842938.4608,814981.067,5.739929199
P07,842939.0512,814991.5119,5.687454224
P08,842945.8146,814999.6811,5.224411011
P09,842952.5779,815007.8503,5.412994385
P10,842962.3949,815010.933,5.294723511
P11,842972.8228,815012.8661,5.076843262
P12,842983.2508,815014.7991,4.874786377
P13,842993.7742,815015.6044,4.629486084
P14,843003.7747,815012.3036,4.445556641
P15,843011.63,5005.2871,4.241638184
P16,843018.142,14996.9161,4.283630371
P17,843024.654,14988.5452,4.361846924
P18,843031.166,14980.1742,4.388397217
P19,843037.6781,814971.8032,4.4662323
P20,843044.1901,814963.4323,4.492126465
P21,843050.3649,814954.8414,4.408935547
P22,843050.3836,814944.53,4.401153564
P23,843043.9712,814936.1349,4.433273315
P24,843037.0858,814928.0683,4.336608887
P25,843030.2004,814920.0016,4.275421143
P26,843023.3149,814911.935,4.243896484
P27,843016.4295,814903.8684,4.197387695
P28,843009.5441,814895.8018,4.184234619
P29,843002.6586,814887.7352,4.214309692
P30,842995.7732,814879.6686,4.077880859
